,date,difficulty,hash_rate,blk_size_mean,miners_revenue_usd,tx_count_day
0,2020-10-02,19314656404097.0,130578601.76057878,302587.001907,10232863.851096012,315443.0
1,2020-10-03,19314656404097.0,144980653.4253485,302762.792556,10855303.17414383,310855.0
2,2020-10-04,19300708897945.598,151592064.050859,302962.665995,11055916.218426451,268019.0
3,2020-10-05,19298087186263.0,134303836.4311328,303155.397375,10710768.428353488,294986.0
4,2020-10-06,19298087186263.0,124710705.25748046,303323.242392,10054284.607074086,317922.0
5,2020-10-07,19298087186263.0,144856280.7221504,303492.339975,11193916.28524024,370554.0
6,2020-10-08,19298087186263.0,155408725.01316798,303685.583647,12084850.912867788,330227.0
7,2020-10-09,19298087186263.0,136222462.66586328,303883.713632,10965183.362031735,339343.0
8,2020-10-10,19298087186263.0,137181775.78322852,304070.206403,11127194.8560519,298486.0
9,2020-10-11,19298087186263.0,134303836.4311328,304255.797541,10659930.880493836,256096.0
10,2020-10-12,19298087186263.0,142937654.4874199,304405.353196,11515021.10073398,314174.0
11,2020-10-13,19298087186263.0,159245977.48262888,304582.009327,12872175.626639746,333215.0
12,2020-10-14,19298087186263.0,142937654.4874199,304790.528621,11605343.496273927,314541.0
13,2020-10-15,19298087186263.0,144856280.7221504,304959.90279,11814116.192273524,340993.0
14,2020-10-16,19298087186263.0,148693533.1916113,305150.364856,11742282.088889891,324647.0
15,2020-10-17,19529685517635.715,152419671.45957646,305338.81432,11674223.51603316,275069.0
16,2020-10-18,19997335994446.0,119288755.698985,305500.436801,8982105.736832837,231557.0
17,2020-10-19,19997335994446.0,124259120.51977606,305630.355788,9776921.35454538,303929.0
18,2020-10-20,19997335994446.0,143146506.838782,305789.82992,11710523.407490088,330563.0
19,2020-10-21,19997335994446.0,129229485.3405671,305966.477144,11562043.137415787,311292.0
20,2020-10-22,19997335994446.0,136187996.08967456,306135.000548,13585268.793336762,339087.0
21,2020-10-23,19997335994446.0,130223558.30472532,306310.945851,12640081.09752187,323869.0
22,2020-10-24,19997335994446.0,151099090.55204767,306479.069345,13768787.568247974,306774.0
23,2020-10-25,19997335994446.0,116306536.8065104,306682.596849,10397996.375269836,242273.0
24,2020-10-26,19997335994446.0,109348026.05740292,306843.144386,10435984.482452529,252494.0
25,2020-10-27,19997335994446.0,98413223.45166264,306990.71018,10871089.34394712,251938.0
26,2020-10-28,19997335994446.0,99407296.41582084,307119.388589,11446509.259696554,261340.0
27,2020-10-29,19997335994446.0,107359880.12908652,307248.449053,12458484.387886178,276070.0
28,2020-10-30,19997335994446.0,110342099.02156112,307388.316669,12828892.041338578,268364.0
29,2020-10-31,19997335994446.0,112330244.94987756,307532.187125,13341986.845960088,275796.0
30,2020-11-01,19997335994446.0,124259120.51977606,307676.67763,13377441.175498055,276280.0
31,2020-11-02,19997335994446.0,94436931.5950298,307832.500894,10902576.25650482,224609.0
32,2020-11-03,17865273539019.508,124332259.0484446,307958.584066,15826226.373946056,331673.0
33,2020-11-04,16787779609933.0,132689483.0919183,308138.034269,16641138.126188194,320697.0
34,2020-11-05,16787779609933.0,122675182.48120748,308351.568205,20893224.438920557,318668.0
35,2020-11-06,16787779609933.0,127682332.78656287,308540.024361,18889243.16455169,340351.0
36,2020-11-07,16787779609933.0,121840657.43031491,308734.671918,16132958.559332216,270901.0
37,2020-11-08,16787779609933.0,115164457.02317438,308933.234737,15148276.024686076,243047.0
38,2020-11-09,16787779609933.0,154387134.41512507,309122.444141,20216887.388651717,326383.0
39,2020-11-10,16787779609933.0,122675182.48120748,309376.123793,16459647.090100149,303270.0
40,2020-11-11,16787779609933.0,122675182.48120748,309556.282154,16020485.034676496,322277.0
41,2020-11-12,16787779609933.0,133524008.14281088,309746.890838,17804675.564513773,324855.0
42,2020-11-13,16787779609933.0,115998982.07406694,309946.504116,16032046.443972783,300040.0
43,2020-11-14,16787779609933.0,118502557.22674464,310123.98087,15597257.884330552,273511.0
44,2020-11-15,16787779609933.0,125178757.6338852,310307.264344,15662707.440931926,252715.0
45,2020-11-16,17040598812944.877,135534841.86269382,310487.954635,17711414.833960325,311477.0
46,2020-11-17,17596801059571.0,137334450.8705656,310681.524903,18324639.99735234,347772.0
47,2020-11-18,17596801059571.0,147831351.5740483,310882.84935,21194109.321156435,362007.0
48,2020-11-19,17596801059571.0,119839616.36476108,311096.13685,16988027.064900875,311061.0
49,2020-11-20,17596801059571.0,146956609.8487581,311278.347427,20641618.88821196,348026.0
50,2020-11-21,17596801059571.0,147831351.5740483,311494.073903,20655875.92406429,311189.0
51,2020-11-22,17596801059571.0,152205060.20049945,311688.422394,20906345.739519317,271125.0
52,2020-11-23,17596801059571.0,128587033.61766332,311850.201751,18011288.3905691,297840.0
53,2020-11-24,17596801059571.0,118964874.63947085,312030.926054,17683648.930801246,333293.0
54,2020-11-25,17596801059571.0,135584967.41998515,312203.751334,20363512.95999495,361990.0
55,2020-11-26,17596801059571.0,131211258.793534,312394.89733,18340061.78604947,323975.0
56,2020-11-27,17596801059571.0,134710225.69469494,312589.671749,17988301.561259545,322445.0
57,2020-11-28,17596801059571.0,134710225.69469494,312787.51199,17630656.51384634,293949.0
58,2020-11-29,18158528379021.04,135399801.26976258,312990.878946,18023228.15797287,263573.0
59,2020-11-30,19157154724710.0,107610727.917311,313156.918048,14684437.13730185,256551.0
60,2020-12-01,19157154724710.0,144750713.6586838,313305.404672,21143567.33429405,378068.0
61,2020-12-02,19157154724710.0,124752259.79794464,313499.631397,18291019.906802543,327019.0
62,2020-12-03,19157154724710.0,149512250.29219317,313664.350458,21762338.78996689,346921.0
63,2020-12-04,19157154724710.0,137132255.0450689,313869.833518,19296507.660683624,318894.0
64,2020-12-05,19157154724710.0,137132255.0450689,314060.03779,18632287.72198453,282599.0
65,2020-12-06,19157154724710.0,129513796.43145394,314253.516183,17217876.55490936,258624.0
66,2020-12-07,19157154724710.0,142846099.00528008,314437.251332,19343628.017927807,300906.0
67,2020-12-08,19157154724710.0,137132255.0450689,314617.294816,18941288.637713756,330970.0
68,2020-12-09,19157154724710.0,132370718.41155957,314802.484291,17187411.942549206,321079.0
69,2020-12-10,19157154724710.0,123799952.47124276,314979.851937,16448918.976491643,313649.0
70,2020-12-11,19157154724710.0,131418411.08485769,315149.90137,16978667.126258247,304735.0
71,2020-12-12,19157154724710.0,125704567.1246465,315332.852679,16396977.01721114,295410.0
72,2020-12-13,19144667899932.82,148463110.1109586,315503.907653,19661607.518971115,276160.0
73,2020-12-14,18670168558400.0,134574371.39496115,315687.074335,18516458.628991958,314350.0
74,2020-12-15,18670168558400.0,129933875.82961763,315856.850186,18584575.83562396,320440.0
75,2020-12-16,18670168558400.0,132718173.16882376,316037.944035,19816346.525156558,315217.0
76,2020-12-17,18670168558400.0,119724785.58586197,316225.176574,22338873.247198086,309481.0
77,2020-12-18,18670168558400.0,145711560.75178552,316392.913511,27241477.87548204,375549.0
78,2020-12-19,18670168558400.0,146639659.8648542,316592.62741,25884376.309846204,343536.0
79,2020-12-20,18670168558400.0,140142966.07337332,316792.5048,24027162.60963906,282043.0
80,2020-12-21,18670168558400.0,126221479.37734284,316995.300096,23298120.991149504,269834.0
