date,close,pred,powell_class,position,entry_price,exit_price,pnl,return_pct
2025-01-18,100467.43799307493,0,-1,-1,100467.43799307493,,,
2025-01-19,100678.45349480619,0,-1,-1,100467.43799307493,,,
2025-01-20,101070.74012110464,0,-1,-1,100467.43799307493,,,
2025-01-21,102331.68009082848,0,-1,-1,100467.43799307493,,,
2025-01-22,102664.98506812137,1,-1,0,,102664.98506812137,-2197.5470750464447,-2.1873226977261213
2025-01-23,102964.76380109103,1,-1,0,,,,
2025-01-24,103425.59785081827,1,-1,0,,,,
2025-01-25,103744.6983881137,1,-1,0,,,,
2025-01-26,103448.54879108528,1,-1,0,,,,
2025-01-27,103091.73659331397,1,-1,0,,,,
2025-01-28,102638.70244498548,1,-1,0,,,,
2025-01-29,102903.5768337391,0,-1,-1,102903.5768337391,,,
2025-01-30,103346.90762530433,0,-1,-1,102903.5768337391,,,
2025-01-31,103105.10571897826,0,-1,-1,102903.5768337391,,,
2025-02-01,102479.72928923368,0,-1,-1,102903.5768337391,,,
2025-02-02,101275.92196692526,0,-1,-1,102903.5768337391,,,
2025-02-03,101280.36647519395,1,-1,0,,101280.36647519395,1623.210358545155,1.5774090740963937
2025-02-04,100387.74985639547,1,-1,0,,,,
2025-02-05,99429.1123922966,1,-1,0,,,,
2025-02-06,98700.60929422246,1,-1,0,,,,
2025-02-07,98139.08197066686,1,-1,0,,,,
2025-02-08,97707.28647800014,1,-1,0,,,,
2025-02-09,97386.3648585001,1,-1,0,,,,
2025-02-10,97384.57364387509,1,-1,0,,,,
2025-02-11,96971.28023290631,1,-1,0,,,,
2025-02-12,97182.53517467972,1,-1,0,,,,
2025-02-13,97027.0513810098,1,-1,0,,,,
2025-02-14,97131.56353575736,1,-1,0,,,,
2025-02-15,97233.17265181802,1,-1,0,,,,
2025-02-16,96941.62948886352,1,-1,0,,,,
2025-02-17,96642.02211664764,1,-1,0,,,,
2025-02-18,96387.01658748573,1,-1,0,,,,
2025-02-19,96439.7624406143,1,-1,0,,,,
2025-02-20,96893.04683046072,1,-1,0,,,,
2025-02-21,96701.76012284553,1,-1,0,,,,
2025-02-22,96652.14509213415,1,-1,0,,,,
2025-02-23,96543.7088191006,1,-1,0,,,,
2025-02-24,95286.40661432545,1,-1,0,,,,
2025-02-25,93624.57996074407,1,-1,0,,,,
2025-02-26,91270.55997055805,1,-1,0,,,,
2025-02-27,89619.94497791855,1,-1,0,,,,
2025-02-28,88289.85873343892,1,-1,0,,,,
2025-03-01,87719.3190500792,1,-1,0,,,,
2025-03-02,89345.18928755939,1,-1,0,,,,
2025-03-03,88557.06696566955,1,-1,0,,,,
2025-03-04,88229.27522425217,1,-1,0,,,,
2025-03-05,88813.48141818913,1,-1,0,,,,
2025-03-06,89082.06106364184,1,-1,0,,,,
2025-03-07,88499.99579773138,1,0,0,,,,
2025-03-08,87921.17184829853,1,0,0,,,,
2025-03-09,86113.0788862239,1,0,0,,,,
2025-03-10,84226.75916466792,0,0,0,,,,
2025-03-11,83894.06937350094,0,0,0,,,,
2025-03-12,83830.72703012571,0,0,0,,,,
2025-03-13,83144.39527259428,0,0,0,,,,
2025-03-14,83343.2464544457,0,0,0,,,,
2025-03-15,83583.15984083427,0,0,0,,,,
2025-03-16,83322.76988062571,0,0,0,,,,
2025-03-17,83482.80241046927,0,0,0,,,,
2025-03-18,83278.62680785195,0,0,0,,,,
2025-03-19,84161.42010588896,0,0,0,,,,
2025-03-20,84166.96507941672,0,0,0,,,,
2025-03-21,84137.79880956255,0,0,0,,,,
2025-03-22,84054.57410717191,0,0,0,,,,
2025-03-23,84551.98058037893,0,0,0,,,,
2025-03-24,85279.8354352842,0,0,0,,,,
2025-03-25,85802.32657646315,0,0,0,,,,
2025-03-26,86070.19493234737,0,0,0,,,,
2025-03-27,86350.44619926052,1,0,0,,,,
2025-03-28,85858.03464944538,1,0,0,,,,
2025-03-29,85044.70098708404,1,0,0,,,,
2025-03-30,84371.72574031304,1,0,0,,,,
2025-03-31,83908.16930523477,1,0,0,,,,
2025-04-01,84211.35197892608,1,0,0,,,,
2025-04-02,83779.78898419456,1,0,0,,,,
2025-04-03,83630.21673814591,1,0,0,,,,
2025-04-04,83687.98755360943,1,1,1,83687.98755360943,,,
2025-04-05,83642.51566520709,1,1,1,83687.98755360943,,,
2025-04-06,82329.38674890532,1,1,1,83687.98755360943,,,
2025-04-07,81532.040061679,1,1,1,83687.98755360943,,,
2025-04-08,80223.50504625925,0,1,0,,80223.50504625925,-3464.482507350185,-4.139760805134528
2025-04-09,80814.62878469443,0,1,0,,,,
2025-04-10,80501.02158852083,0,1,0,,,,
2025-04-11,81220.34119139062,0,1,0,,,,
2025-04-12,82224.70589354297,0,1,0,,,,
2025-04-13,82596.95442015723,0,1,0,,,,
2025-04-14,83086.19081511791,0,1,0,,,,
2025-04-15,83216.81811133843,0,1,0,,,,
2025-04-16,83410.11358350383,0,1,0,,,,
2025-04-17,83786.33518762788,0,1,0,,,,
2025-04-18,83945.0013907209,0,1,0,,,,
2025-04-19,84220.47604304069,0,1,0,,,,
2025-04-20,84450.05703228051,0,1,0,,,,
2025-04-21,85204.0427742104,0,1,0,,,,
2025-04-22,87254.25708065779,1,1,1,87254.25708065779,,,
2025-04-23,88848.71781049334,1,1,1,87254.25708065779,,,
2025-04-24,90119.43835787,1,1,1,87254.25708065779,,,
2025-04-25,91237.52876840251,1,1,1,87254.25708065779,,,
2025-04-26,92072.07157630188,1,1,1,87254.25708065779,,,
2025-04-27,92478.32868222642,1,1,1,87254.25708065779,,,
2025-04-28,93100.99651166981,1,1,1,87254.25708065779,,,
2025-04-29,93375.77238375237,1,1,1,87254.25708065779,,,
2025-04-30,93563.10428781426,1,1,1,87254.25708065779,,,
2025-05-01,94278.1532158607,1,1,1,87254.25708065779,,,
2025-05-02,94916.41491189552,1,1,1,87254.25708065779,,,
2025-05-03,95138.13618392164,1,1,1,87254.25708065779,,,
2025-05-04,94911.15213794123,1,1,1,87254.25708065779,,,
2025-05-05,94857.53910345593,1,1,1,87254.25708065779,,,
2025-05-06,95342.87932759195,1,1,1,87254.25708065779,,,
2025-05-07,95754.25949569396,1,1,1,87254.25708065779,,,
2025-05-08,97622.71962177046,1,1,1,87254.25708065779,,,
2025-05-09,98952.51471632786,1,1,1,87254.25708065779,,,
2025-05-10,100411.58603724588,1,1,1,87254.25708065779,,,
2025-05-11,101326.86452793442,1,1,1,87254.25708065779,,,
2025-05-12,101679.97339595082,1,1,1,87254.25708065779,,,
2025-05-13,102280.48004696312,1,1,1,87254.25708065779,,,
2025-05-14,102574.88503522234,1,1,1,87254.25708065779,,,
2025-05-15,102859.78877641675,1,1,1,87254.25708065779,,,
2025-05-16,102997.89158231257,1,1,1,87254.25708065779,,,
2025-05-17,103018.31868673442,1,1,1,87254.25708065779,,,
2025-05-18,103865.63901505081,1,1,1,87254.25708065779,,,
