,date,market_cap_usd,tx_volume_usd,nvt
0,2020-10-01,199451696368.75,,
1,2020-10-02,195033745968.75,2283910067.2491984,85.39466976633358
2,2020-10-03,194913683425.0,846455550.5192969,230.27042980038502
3,2020-10-04,196053257812.5,634742572.527444,308.87050325275504
4,2020-10-05,198459401718.75003,1343799081.1799047,147.68532327354728
5,2020-10-06,198144532031.25,1385299160.190378,143.0337487564921
6,2020-10-07,196580912625.00003,1847973952.4246747,106.37645209613032
7,2020-10-08,198637114225.0,1564119346.8517392,126.9961365958531
8,2020-10-09,204903807618.75,2052602359.6675017,99.8263529483334
9,2020-10-10,210736253606.25003,1149403530.058942,183.34401112848798
10,2020-10-11,211246522812.5,651622749.4229141,324.18530967432116
11,2020-10-12,212552487000.0,1519550414.7656412,139.87853573965282
12,2020-10-13,210592507928.125,1713107902.128088,122.9300896146232
13,2020-10-14,211315932675.0,1641335688.119119,128.74632179426777
14,2020-10-15,211206336156.25,1656087273.91197,127.53333684965976
15,2020-10-16,209773193734.375,1735871118.0383928,120.84606486881786
16,2020-10-17,209274658125.0,694375228.5853593,301.38554704975905
17,2020-10-18,211784418906.25,564810368.5227593,374.9655295106645
18,2020-10-19,217701857925.0,1621572965.596006,134.2535072697047
19,2020-10-20,221805290937.5,1656442476.473881,133.9046143091329
20,2020-10-21,237912623000.0,2381891958.1275086,99.88388524013142
21,2020-10-22,239608748437.5,3311533243.6679773,72.35583362953061
22,2020-10-23,236303385225.0,2772642131.3782315,85.22678875529377
23,2020-10-24,243058332000.0,1019815578.520192,238.3355747052726
24,2020-10-25,240826867181.25003,770092624.095325,312.72454721166054
25,2020-10-26,243643094268.75,2143577766.8448277,113.66188716697359
26,2020-10-27,251831386700.0,1916977068.721834,131.36901364600644
27,2020-10-28,241880955975.00003,2517314639.707993,96.08689837955977
28,2020-10-29,251135512200.0,2135566368.3007383,117.59667876762244
29,2020-10-30,247142207812.5,1893674939.141356,130.50930901824208
30,2020-10-31,254323391256.25,1316281834.8887043,193.21347793100392
31,2020-11-01,255296971068.75,1188080329.7413285,214.8819104886063
32,2020-11-02,249645161356.25,1715336327.8298092,145.5371505319271
33,2020-11-03,254760791537.5,3811487630.8471503,66.84025142195628
34,2020-11-04,255431711812.5,1988917620.244285,128.42749705295842
35,2020-11-05,276036914775.0,5149644713.046795,53.603098884793226
36,2020-11-06,286112785774.91394,3527917034.289506,81.09963556230136
37,2020-11-07,284962671393.75,1502513708.7042077,189.65728548294342
38,2020-11-08,282240065717.56494,1123463511.0622897,251.22317096947202
39,2020-11-09,278003064825.0,2728063355.8702464,101.90491515777778
40,2020-11-10,280873425000.00006,2632911827.6774883,106.677869743842
41,2020-11-11,293735458181.24994,2715135370.028515,108.18446160132527
42,2020-11-12,298821768003.12494,3262813497.119191,91.58407866921023
43,2020-11-13,299059082337.5,2656697442.1882963,112.56798669974549
44,2020-11-14,295949372249.99994,1356685552.9036057,218.14146366975245
45,2020-11-15,297799501162.5,795037576.249102,374.5728630431339
46,2020-11-16,306670839443.75,2343880257.789508,130.83895323772575
47,2020-11-17,320661312562.5,3117390382.4550147,102.86209721028652
48,2020-11-18,332043502612.41034,4148880836.428013,80.0320654420829
49,2020-11-19,333947466000.0,2649430667.646257,126.0449915062988
50,2020-11-20,346672119546.875,4202034216.731514,82.50102252059443
51,2020-11-21,348202753912.5,2261632554.633789,153.96079845025142
52,2020-11-22,337927748400.0,1454587916.630766,232.31854502320874
53,2020-11-23,339931388006.25,2703213540.7977214,125.75084538306058
54,2020-11-24,358361108867.128,4162955937.5419774,86.08332978867001
55,2020-11-25,355242485681.25,3581534995.903928,99.18721612033053
56,2020-11-26,317556980324.99994,3560329146.149023,89.19315245571627
57,2020-11-27,308694288800.0,3539855459.5656195,87.20533714613316
58,2020-11-28,322368621025.0,1310741286.2452636,245.94374527444234
59,2020-11-29,335208412462.5,1353406964.7056353,247.67746967772365
60,2020-11-30,358467793246.875,3302208582.016012,108.55395240600728
61,2020-12-01,358112782103.125,4627255393.593444,77.39205028513047
62,2020-12-02,349860241250.0,2983704874.188316,117.25698619746218
63,2020-12-03,359705927546.875,2744199631.0179462,131.07862980560347
64,2020-12-04,351862693700.0,3109317273.318671,113.16397227113654
65,2020-12-05,354255814900.0,1245963842.4548998,284.3227089174725
66,2020-12-06,355414070515.625,1002450424.9438208,354.54528390822225
67,2020-12-07,356563870875.0,2103990331.796725,169.4702991199149
68,2020-12-08,349332093600.0,3771844232.261542,92.6157264428032
69,2020-12-09,340482677175.0,2599989621.4131374,130.95539857960742
70,2020-12-10,338000608275.0,3877167091.86871,87.17720961365404
71,2020-12-11,335156686875.0,2913875514.564554,115.02093524578224
72,2020-12-12,342199968281.25,1929697457.1383853,177.3334814819677
73,2020-12-13,356729579937.5,3450322095.0157766,103.39022564091044
74,2020-12-14,357490065625.0,2685900125.77615,133.0987932850613
75,2020-12-15,360441494400.0,3108771396.732216,115.94338997678567
76,2020-12-16,381334419750.0,4228699631.5529056,90.17770307085219
77,2020-12-17,438912593906.25,5540206537.115145,79.22314645958981
78,2020-12-18,419216049275.0,6176614857.997192,67.87148930489306
79,2020-12-19,439661586393.75,2768897617.388285,158.7857866729118
80,2020-12-20,438123951781.25,2436345570.703207,179.82832856292774
81,2020-12-21,428570031640.625,3918912338.912008,109.359433071577
82,2020-12-22,435480720132.8178,6418279942.846496,67.85006637458741
83,2020-12-23,442833146437.5,6427851084.363599,68.89287580335154
84,2020-12-24,429605170362.5,4019021845.006808,106.89296722689804
85,2020-12-25,447992830471.875,2352003684.944295,190.47284378828908
86,2020-12-26,472884888018.75,2615234142.573132,180.8193309810027
87,2020-12-27,512832441078.125,4714768342.628513,108.77150345677804
88,2020-12-28,506354938031.25,8026930076.872239,63.08201680866709
89,2020-12-29,491383802756.25,5504342175.362542,89.27203053539911
90,2020-12-30,520302297281.25,5840540994.996466,89.08460667033891
91,2020-12-31,532877463625.00006,5636631338.131147,94.53828566366346
92,2021-01-01,545565564818.75006,4343208402.410698,125.61348990666298
93,2021-01-02,597462473634.375,6152237015.4746895,97.11304556888507
94,2021-01-03,624947521373.4375,5847742860.444979,106.86987035642034
95,2021-01-04,596448908315.6249,7503147813.225784,79.49315716055408
96,2021-01-05,597772815706.0186,6775407806.433055,88.22683929644064
97,2021-01-06,647943249318.75,7549976673.166344,85.82056307824493
98,2021-01-07,726288515700.0,9896769612.735806,73.38642245095458
99,2021-01-08,756810789190.625,8838843563.36015,85.6232813450675
100,2021-01-09,755461798650.0,5814286455.439408,129.93198811923807
101,2021-01-10,733641223250.0,4278195465.100052,171.48380181194986
102,2021-01-11,608062020849.9999,6926936905.870075,87.7822375334055
103,2021-01-12,629575073106.25,7357383072.698131,85.57051697396118
104,2021-01-13,644355015300.0,5277220346.7589445,122.10121483665863
105,2021-01-14,731575732875.0,8352711917.09365,87.58541419079062
