type,entry_date,exit_date,entry_price,exit_price,pnl,return_pct
SHORT,2025-01-21,2025-01-22,100467.43799307493,102664.98506812137,-2197.5470750464447,-2.1873226977261213
SHORT,2025-02-02,2025-02-03,102903.5768337391,101280.36647519395,1623.210358545155,1.5774090740963937
LONG,2025-04-07,2025-04-08,83687.98755360943,80223.50504625925,-3464.482507350185,-4.139760805134528
LONG,2025-06-23,2025-06-24,87254.25708065779,104379.65756683823,17125.400486180442,19.62700853707313
SHORT,2025-06-27,2025-06-28,105104.74317512868,106250.5588395074,-1145.8156643787224,-1.0901655146709508
