nvt,trades,tx_volume_usd,fee_total_btc,active_addresses,taker_buy_base,volume,taker_buy_quote,quote_volume,tx_count_day,tx_count,miners_revenue_usd,hash_rate_x,hash_rate_y,difficulty
-2.1255325964910714,-1.982688898159859,-0.8555323856416622,1.126639444173752,0.5135849112022439,-1.057135376542654,-1.091198791793323,-1.957345111370354,-1.968976554344289,-0.0683110639327921,-0.06156247966279912,-1.644954962435706,-0.98271769843349,-0.9828979305504548,-0.929354298240621
-1.4970474796084887,-2.0401976401985187,-1.0175810970495394,0.9129911295411244,0.5303007211746326,-1.2623185618494845,-1.300816510523012,-2.0237193834594702,-2.035994135396174,-0.0802256774054107,-0.09281384270829265,-1.6343555004622068,-0.956906135952824,-0.9570795163096869,-0.929354298240621
-0.6847088899308826,-2.0733067717543516,-1.1629846920481646,0.7033248392731732,0.32602942885916414,-1.3888529458463126,-1.437416731604898,-2.0643065040906126,-2.0793629800833076,-0.20040278457026917,-0.19254680898860027,-1.6229896829055448,-0.9257057805169124,-0.9258634958038401,-0.929539557525811
-0.7746919121942959,-2.0804116325049447,-1.192103246238926,0.7220619868600634,0.2370071954790663,-1.428324408566689,-1.4838341153581556,-2.0760341590412486,-2.0932382630541664,-0.22050479944345408,-0.21189931095178038,-1.620342809704785,-0.9332823412682113,-0.933443913486381,-0.9297133251636115
-0.8623581608923807,-2.0673568382015293,-1.2092637291046797,0.7951279871792858,0.25712810806802033,-1.401626195406692,-1.4419548594008562,-2.0665481901201397,-2.0789243503128847,-0.1760186308668737,-0.1682122744460933,-1.6295368574063196,-0.9561577083949626,-0.9563267372330777,-0.9298436508919617
-1.0871307603640594,-2.0917867166723756,-1.1699753251783633,0.8248430401646234,0.5055311597455886,-1.4791236307607911,-1.5209737416109828,-2.0917636363445995,-2.1043361978420587,-0.0059735475271014945,-0.002313958067390562,-1.617025710170592,-0.9372090459571439,-0.937374083025039,-0.9299413951882244
-1.1662600160924292,-2.066327906127862,-1.172508833375427,0.826901825144175,0.6085621695964336,-1.3829337159118291,-1.4372668820208987,-2.058724984029193,-2.0758046299874673,0.01683475985342731,0.018006061002792072,-1.5924707059277026,-0.9040853079091747,-0.9042423308357398,-0.9300147034104214
-1.3434721179912141,-2.067027452153082,-1.119340757599008,0.856156512308939,0.6131382787321354,-1.399173824455881,-1.450184727875889,-2.06167749681203,-2.077645266062011,0.057614402859702527,0.058950120232455966,-1.5931211684696256,-0.9136283974997524,-0.9137885376633476,-0.9300696845770692
-1.114073482270932,-2.0517305926089513,-1.1812851095377017,0.7346528115028115,0.3712741618028368,-1.357209834722534,-1.3962366975604485,-2.042704593325943,-2.0547880781875216,-0.01790273120005877,-0.02643316005005251,-1.590850136547963,-0.9190664200363582,-0.9192284417355742,-0.9301109204520549
-0.33104127434759056,-2.065261090364447,-1.2838597466547361,0.5476810710367386,-0.15741596862476862,-1.4049421921918028,-1.4307292732089147,-2.0559324962521215,-2.0633633120861066,-0.1846235078792089,-0.18745134319404108,-1.5971038578625147,-0.9283028209077955,-0.9284676229351815,-0.9301418473582942
-0.5433078029982579,-2.0417925658874934,-1.2629465435969687,0.5031805740375725,-0.12834679122539533,-1.2912916440537812,-1.3042282326895236,-2.012395821776962,-2.0159402837711284,-0.15884087302528843,-0.1560699818428854,-1.5872328961483795,-0.9197564696544239,-0.919919249398575,-0.9301650425379737
-0.7760317047536943,-2.039383221889434,-1.2254413046979427,0.4624715360685067,0.17782171411127945,-1.2842156511897502,-1.2871688395704144,-2.0076139937812028,-2.007788708316614,-0.09005617344715615,-0.09510968131902106,-1.5567188152868388,-0.8841186970568239,-0.8842722014219755,-0.9301824389227333
-0.9253432510217316,-2.037429987521739,-1.20540348008363,0.4385899144628137,0.1424682930122732,-1.2851924334610296,-1.2830992077313466,-2.006560931965366,-2.0050223991362817,-0.08696230699975563,-0.07942336824744187,-1.5554060224518007,-0.8866183767661951,-0.8867726832636704,-0.9301954862113032
-1.0425889572135572,-2.0231352645641323,-1.1887121195482715,0.428197268350885,0.34201374130581536,-1.2258806907264912,-1.2485213437298774,-1.9845386583313975,-1.9919124865224513,-0.015948499235324022,-0.01846220247455791,-1.5508662567905096,-0.8850545472355682,-0.8852085425479835,-0.9302052716777305
-1.159533272156066,-2.0198118839928423,-1.167199318645088,0.36457709672145694,0.32133809187769197,-1.2262150717382174,-1.2267134899651855,-1.9844460985188597,-1.9841881610213405,-0.005137200043086525,-0.019235485758304263,-1.5486846888829853,-0.8770044964622872,-0.8771564328173019,-0.930212610777551
-0.4640437012643634,-2.063690863644113,-1.26847578374974,0.2037405815181052,-0.02964173367592355,-1.36847492541348,-1.3748053841293073,-2.034029507953357,-2.035235110203195,-0.12577822581139414,-0.12659807719689462,-1.5482074761287579,-0.8639774347474377,-0.8644375396451196,-0.9271418847817023
0.3767705866644685,-2.099254803298686,-1.3590393815916937,0.09027852355170204,-0.5851518394798392,-1.4670738149400435,-1.4907051988587168,-2.0679698753540645,-2.0748106157152226,-0.32925565194245926,-0.3213501255035509,-1.5936933925750618,-0.9138963238629586,-0.914291831697201,-0.9186272213679895
-0.03685082702601747,-2.0691538035059365,-1.3078299508332851,0.06225444427179125,-0.4919838161568662,-1.343942982796524,-1.383181963692655,-2.021818231048791,-2.034688079198617,-0.2939203025694519,-0.2896040557537926,-1.6142729878714752,-0.9424275319510981,-0.9427722273422112,-0.9122412238077048
